LC1,LU1,CLC3,Representativeness,Note
C22,U210,312,0,U210 Energy production
C22,U221,312,1,U221L - Manufacture of food products
C22,U224,312,0,U224 Production of non-metal mineral goods
C22,U225,312,0,U225 Chemical and allied industries and manufacturing
C22,U311,312,0,U311 Railway transport
C22,U312,312,0,U312 Road transport
C22,U314,312,0,U314 Air transport
C22,U317,312,0,U317 Logistics and storage
C22,U318,312,0,U318 Protection infrastructures
C22,U319,312,0,U319 Protection infrastructures
C22,U321,312,0,U321 Water supply and treatment
C22,U322,312,0,U322 Waste treatment
C22,U340,312,0,"U340 COMMERCE, FINANCIAL, PROFESSIONAL AND INFORMATION SERVICE"
C22,U341,312,0,U341 Wooded areas connected to commercial areas
C22,U342,312,0,"U342 Financial, professional and information services"
C22,U350,312,0,U350 Wooded areas connected to community services
C22,U361,312,0,"U361 Amenities, museums, leisure"
C22,U362,312,0,U362 Sport
C22,U363,312,0,U363 Holiday camps
C22,U370,312,0,U370 Wooded areas in residential areas (urban parks)
C22,U400,312,0,U400 Unused and abandoned areas
C22,U410,312,0,U410 Abandoned areas
C22,U411,312,0,U411 Abandoned transport areas
C22,U412,312,0,U350 Wooded areas connected to community services
C22,U413,312,0,U411 Abandoned transport areas
C22,U414,312,0,U414 Abandoned residential areas
C22,U415,312,0,U415 Other abandoned areas
C22,U420,312,0,U420 Semi-natural and natural areas not in use
C22,U500,312,0,U50 Wetlands
C23,U111,312,0,U111 Grazing
C23,U112,312,0,U112 Shrub areas in fallow land
C23,U120,312,1,U120 Areas used for forestry purpose
C23,U130,312,0,U130 Fishing or collecting of water organisms
C23,U140,312,0,U140 Salt extraction
C23,U210,312,0,U210 Energy production
C23,U312,312,0,U312 Road transport
C23,U316,312,0,U316 Telecommunication
C23,U318,312,0,U318 Protection infrastructures
C23,U350,312,0,U350 Wooded areas connected to community services
C23,U361,312,0,"U361 Amenities, museums, leisure"
C23,U362,312,0,U362 Sport
C23,U363,312,0,U363 Holiday camps
C23,U370,312,0,U370 Wooded areas in residential areas (urban parks)
C23,U400,312,0,U400 Unused and abandoned areas
C23,U410,312,0,U410 Abandoned areas
C23,U414,312,0,U414 Abandoned residential areas
C23,U415,312,0,U415 Other abandoned areas
C23,U420,312,0,U420 Semi-natural and natural areas not in use
C23,U500,312,0,U50 Wetlands
C30,U111,313,0,U111 Grazing
C30,U120,313,1,U120 Areas used for forestry purpose
C30,U130,313,0,U130 Fishing or collecting of water organisms
C30,U140,313,0,U140 Salt extraction
C30,U150,313,0,U150 wild growing non-wood forest products
C30,U210,313,0,U210 Energy production
C30,U221,313,1,U221L - Manufacture of food products
C30,U223,313,0,"U223 Coal, oil and metal processing"
C30,U311,313,0,U311 Railway transport
C30,U312,313,0,U312 Road transport
C30,U313,313,0,U313 Water transport
C30,U318,313,0,U318 Protection infrastructures
C30,U321,313,0,U321 Water supply and treatment
C30,U322,313,0,U322 Waste treatment
C30,U340,313,0,"U340 COMMERCE, FINANCIAL, PROFESSIONAL AND INFORMATION SERVICE"
C30,U350,313,0,U350 Wooded areas connected to community services
C30,U361,313,0,"U361 Amenities, museums, leisure"
C30,U362,313,0,U362 Sport
C30,U363,313,0,U363 Holiday camps
C30,U364,313,1,U364 Nature Reserve
C30,U370,313,0,U370 Wooded areas in residential areas (urban parks)
C30,U400,313,0,U400 Unused and abandoned areas
C31,U111,313,0,U111 Grazing
C31,U120,313,1,U120 Areas used for forestry purpose
C31,U130,313,0,U130 Fishing or collecting of water organisms
C31,U140,313,0,U140 Salt extraction
C31,U150,313,0,U150 wild growing non-wood forest products
C31,U210,313,0,U210 Energy production
C31,U227,313,1,U227 Wood based products
C31,U311,313,0,U311 Railway transport
C31,U312,313,0,U312 Road transport
C31,U316,313,0,U316 Telecommunication
C31,U318,313,0,U318 Protection infrastructures
C31,U319,313,0,U319 Protection infrastructures
C31,U321,313,0,U321 Water supply and treatment
C31,U341,313,0,U341 Wooded areas connected to commercial areas
C31,U350,313,0,U350 Wooded areas connected to community services
C31,U361,313,0,"U361 Amenities, museums, leisure"
C31,U362,313,0,U362 Sport
C31,U363,313,0,U363 Holiday camps
C31,U370,313,0,U370 Wooded areas in residential areas (urban parks)
C31,U410,313,0,U410 Abandoned areas
C31,U411,313,0,U411 Abandoned transport areas
C31,U420,313,0,U420 Semi-natural and natural areas not in use
C32,U111,313,0,U111 Grazing
C32,U120,313,1,U120 Areas used for forestry purpose
C32,U130,313,0,U130 Fishing or collecting of water organisms
C32,U140,313,0,U140 Salt extraction
C32,U150,313,0,U150 wild growing non-wood forest products
C32,U210,313,0,U210 Energy production
C32,U223,313,0,"U223 Coal, oil and metal processing"
C32,U224,313,0,U224 Production of non-metal mineral goods
C32,U311,313,0,U311 Railway transport
C32,U312,313,0,U312 Road transport
C32,U314,313,0,U314 Air transport
C32,U317,313,0,U317 Logistics and storage
C32,U318,313,0,U318 Protection infrastructures
C32,U319,313,0,U319 Protection infrastructures
C32,U321,313,0,U321 Water supply and treatment
C32,U322,313,0,U322 Waste treatment
C32,U340,313,0,"U340 COMMERCE, FINANCIAL, PROFESSIONAL AND INFORMATION SERVICE"
C32,U341,313,0,U341 Wooded areas connected to commercial areas
C32,U342,313,0,"U342 Financial, professional and information services"
C32,U350,313,0,U350 Wooded areas connected to community services
C32,U361,313,0,"U361 Amenities, museums, leisure"
C32,U362,313,0,U362 Sport
C32,U363,313,0,U363 Holiday camps
C32,U370,313,0,U370 Wooded areas in residential areas (urban parks)
C32,U410,313,0,U410 Abandoned areas
C32,U411,313,0,U411 Abandoned transport areas
C32,U414,313,0,U414 Abandoned residential areas
C32,U415,313,0,U415 Other abandoned areas
C32,U420,313,0,U420 Semi-natural and natural areas not in use
C33,U111,313,0,U111 Grazing
C33,U120,313,1,U120 Areas used for forestry purpose
C33,U130,313,0,U130 Fishing or collecting of water organisms
C33,U140,313,0,U140 Salt extraction
C33,U210,313,0,U210 Energy production
C33,U225,313,0,U225 Chemical and allied industries and manufacturing
C33,U311,313,0,U311 Railway transport
C33,U312,313,0,U312 Road transport
C33,U313,313,0,U313 Water transport
C33,U314,313,0,U314 Air transport
C33,U317,313,0,U317 Logistics and storage
C33,U318,313,0,U318 Protection infrastructures
C33,U321,313,0,U321 Water supply and treatment
C33,U340,313,0,"U340 COMMERCE, FINANCIAL, PROFESSIONAL AND INFORMATION SERVICE"
C33,U341,313,0,U341 Wooded areas connected to commercial areas
C33,U350,313,0,U350 Wooded areas connected to community services
C33,U361,313,0,"U361 Amenities, museums, leisure"
C33,U362,313,0,U362 Sport
C33,U363,313,0,U363 Holiday camps
C33,U370,313,0,U370 Wooded areas in residential areas (urban parks)
C33,U410,313,0,U410 Abandoned areas
